City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,howrah,22.5892,88.3103,25.0,83,75,6.69,IN,1684857537
85,bamboo flat,11.7,92.7167,29.05,79,40,2.06,IN,1684857538
86,antofagasta,-23.65,-70.4,17.6,69,29,2.88,CL,1684857391
87,tazovsky,67.4667,78.7,0.19,93,12,4.91,RU,1684857538
88,jamestown,42.097,-79.2353,23.9,52,0,3.6,US,1684857423
89,puerto ayora,-0.7393,-90.3518,28.98,88,81,3.58,EC,1684857539
90,port lincoln,-34.7333,135.8667,13.73,80,59,4.22,AU,1684857539
91,antsiranana,-12.2787,49.2917,26.42,78,75,0.0,MG,1684857539
92,bredasdorp,-34.5322,20.0403,14.71,72,19,1.86,ZA,1684857539
93,papatowai,-46.5619,169.4708,6.1,83,40,4.12,NZ,1684857540
94,pathein,16.7833,94.7333,28.21,80,2,4.8,MM,1684857540
95,rubiataba,-15.1644,-49.8033,28.15,32,100,2.4,BR,1684857495
96,undurkhaan,47.3194,110.6556,12.93,57,98,3.95,MN,1684857540
97,chebba,35.2372,11.115,20.16,76,78,7.93,TN,1684857541
98,chonchi,-42.6128,-73.8092,8.95,78,83,3.91,CL,1684857541
99,manggar,-2.8833,108.2667,27.77,76,2,3.51,ID,1684857542
100,toba tek singh,30.9743,72.4827,29.97,43,66,5.19,PK,1684857542
101,tura,25.5198,90.2201,21.43,94,100,1.27,IN,1684857543
102,yigo village,13.5361,144.8886,26.62,86,100,9.77,GU,1684857544
103,charters towers,-20.1,146.2667,14.39,80,1,3.9,AU,1684857545
104,shalkar,47.8288,59.6258,23.09,24,0,3.87,KZ,1684857545
105,ulladulla,-35.35,150.4667,8.6,73,82,2.37,AU,1684857546
106,isangel,-19.55,169.2667,23.06,64,100,4.12,VU,1684857547
107,chizhou,30.6578,117.4831,18.68,71,99,0.72,CN,1684857548
108,ribeira brava,32.65,-17.0667,22.35,64,49,0.93,PT,1684857548
109,port elizabeth,-33.918,25.5701,19.16,58,0,2.57,ZA,1684857549
110,port douglas,-16.4833,145.4667,22.07,83,95,7.71,AU,1684857550
111,lihue,21.9789,-159.3672,23.77,89,100,6.69,US,1684857550
112,whitehorse,60.7161,-135.0538,7.28,60,20,1.54,CA,1684857352
113,gazojak,41.1875,61.4036,30.36,18,25,8.09,TM,1684857552
114,kuqa,41.7278,82.9364,22.32,18,78,1.88,CN,1684857553
115,baiti,13.745,-14.7482,40.42,13,15,3.18,SN,1684857554
116,hadibu,12.65,54.0333,30.0,69,23,2.99,YE,1684857555
117,rongelap,11.1635,166.8941,27.89,78,67,7.88,MH,1684857557
118,afaahiti,-17.75,-149.2833,24.93,82,25,5.46,PF,1684857557
119,iqaluit,63.7506,-68.5145,-5.15,67,20,9.26,CA,1684857558
120,westport,41.1415,-73.3579,21.36,63,34,2.68,US,1684857383
121,atafu village,-8.5421,-172.5159,28.15,76,45,5.29,TK,1684857559
122,alofi,-19.0595,-169.9187,16.94,100,21,0.0,NU,1684857560
